,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Marvin Williams,CHA,33,7,4,3,17.7,7.3,2.6,5.0,51.4,1.6,3.4,45.8,0.6,0.7,80.0,0.6,1.4,2.0,0.7,0.6,0.4,0.1,1.4,11.9,0,0,-3.9
Mike Scott,PHI,31,7,5,2,16.9,7.3,2.7,5.1,52.8,1.3,3.1,40.9,0.6,0.6,100,0.7,2.1,2.9,0.7,0.6,0.0,0.0,2.3,11.2,0,0,7.4
Nerlens Noel,OKC,25,7,3,4,16.6,7.3,2.9,4.1,69.0,0.0,0.0,0.0,1.6,2.0,78.6,1.1,3.4,4.6,1.3,1.1,0.7,1.6,2.3,20.4,1,0,-0.6
JaKarr Sampson,IND,26,4,3,1,18.4,7.3,3.5,7.0,50.0,0.3,1.8,14.3,0.0,1.0,0.0,1.3,2.5,3.8,0.5,0.5,0.5,1.0,2.5,16.5,0,0,5.0
Garrett Temple,BKN,33,7,3,4,20.9,7.1,2.4,5.1,47.2,1.3,3.4,37.5,1.0,1.3,77.8,0.4,2.1,2.6,1.7,0.6,1.4,0.6,1.1,18.2,0,0,-2.3
Kevin Huerter,ATL,21,7,3,4,21.3,7.1,2.4,7.0,34.7,1.0,3.7,26.9,1.3,1.7,75.0,0.6,2.7,3.3,2.7,1.7,0.9,0.4,2.1,17.3,0,0,-3.0
Marc Gasol,TOR,34,7,5,2,25.6,7.1,2.4,6.7,36.2,1.1,3.0,38.1,1.1,1.4,80.0,1.0,6.0,7.0,2.1,1.4,0.1,0.3,3.3,18.6,2,0,7.7
Tyler Johnson,PHX,27,7,5,2,19.4,7.1,2.7,5.9,46.3,1.1,2.9,40.0,0.6,0.6,100,0.1,1.4,1.6,1.9,0.9,0.3,0.1,1.9,12.2,0,0,1.7
Doug McDermott,IND,27,8,4,4,19.4,7.1,2.5,6.4,39.2,1.5,3.5,42.9,0.6,0.8,83.3,0.4,2.1,2.5,1.6,1.1,0.3,0.1,2.5,12.6,0,0,-0.1
Chandler Hutchison,CHI,23,2,1,1,16.7,7.0,2.0,4.0,50.0,0.5,1.0,50.0,2.5,5.0,50.0,0.5,3.0,3.5,0.5,1.0,0.0,0.0,2.5,11.0,0,0,9.0
Edmond Sumner,IND,23,3,0,3,22.2,7.0,3.0,6.0,50.0,0.0,1.0,0.0,1.0,1.7,60.0,0.3,0.7,1.0,2.0,0.3,1.7,0.3,3.0,16.9,0,0,-11.0
Ersan Ilyasova,MIL,32,8,6,2,17.9,7.0,2.4,5.9,40.4,1.0,3.4,29.6,1.3,1.5,83.3,1.3,4.9,6.1,0.5,0.6,0.6,0.6,2.8,18.2,1,0,-2.1
Steven Adams,OKC,26,5,2,3,27.0,7.0,3.0,7.8,38.5,0.0,0.0,0.0,1.0,3.2,31.3,3.6,8.0,11.6,1.8,1.2,0.4,0.8,2.2,26.0,1,0,5.6
Austin Rivers,HOU,27,8,5,3,19.4,6.9,2.5,5.8,43.5,1.5,3.6,41.4,0.4,0.8,50.0,0.4,1.8,2.1,1.5,0.4,0.0,0.0,2.1,11.3,0,0,-3.4
Omari Spellman,GSW,22,8,2,6,16.6,6.9,2.4,5.3,45.2,0.4,1.3,30.0,1.8,2.1,82.4,2.3,3.5,5.8,1.3,1.3,0.9,0.6,1.3,18.9,0,0,-1.1
Wesley Matthews,MIL,33,8,6,2,23.5,6.9,2.6,6.1,42.9,1.4,4.5,30.6,0.3,0.4,66.7,0.1,1.9,2.0,0.9,0.5,1.0,0.1,1.0,13.5,0,0,8.0
Kelly Olynyk,MIA,28,7,5,2,20.1,6.9,2.1,6.3,34.1,1.4,4.1,34.5,1.1,1.4,80.0,1.1,4.3,5.4,1.7,1.4,1.0,0.7,3.4,19.7,0,0,2.3
Kentavious Caldwell-Pope,LAL,26,7,6,1,23.7,6.9,2.7,7.0,38.8,0.7,2.4,29.4,0.7,1.0,71.4,0.3,2.0,2.3,1.6,1.0,0.7,0.1,2.4,13.5,0,0,6.4
Monte Morris,DEN,24,7,5,2,16.8,6.9,2.7,7.0,38.8,0.4,0.9,50.0,1.0,1.1,87.5,0.0,1.3,1.3,3.6,0.6,0.4,0.1,0.6,14.9,0,0,-3.4
Skal Labissiere,POR,23,7,3,4,13.5,6.9,2.9,5.0,57.1,0.0,0.1,0.0,1.1,1.7,66.7,2.4,1.6,4.0,0.7,1.1,0.1,1.0,2.6,15.0,0,0,1.4
Nicolo Melli,NOP,28,6,1,5,14.3,6.8,2.5,4.5,55.6,0.8,2.3,35.7,1.0,1.3,75.0,0.7,2.2,2.8,1.2,1.0,0.2,0.2,1.7,12.0,0,0,1.5
Dwight Howard,LAL,33,7,6,1,21.7,6.7,3.1,4.0,78.6,0.0,0.0,0.0,0.4,1.3,33.3,2.4,5.4,7.9,1.1,0.9,0.7,2.1,4.1,25.6,2,0,10.1
Mason Plumlee,DEN,29,7,5,2,17.1,6.7,2.6,4.4,58.1,0.0,0.1,0.0,1.6,2.4,64.7,2.0,3.3,5.3,2.7,0.9,0.7,0.4,2.9,19.7,0,0,-3.4
Goga Bitadze,IND,20,6,4,2,18.1,6.7,2.3,4.8,48.3,0.5,1.3,37.5,1.5,2.0,75.0,1.8,3.2,5.0,1.5,1.3,0.0,2.2,3.3,20.1,1,0,1.3
Bismack Biyombo,CHA,27,5,2,3,12.2,6.6,2.6,3.2,81.3,0.0,0.0,0.0,1.4,3.4,41.2,1.4,1.4,2.8,1.2,1.0,0.2,0.6,1.8,13.2,0,0,1.0
Derrick Favors,NOP,28,4,0,4,17.2,6.5,3.3,5.5,59.1,0.0,0.3,0.0,0.0,0.5,0.0,2.0,3.8,5.8,1.8,2.3,0.3,0.3,2.3,15.3,0,0,-7.0
Shake Milton,PHI,23,3,3,0,8.6,6.3,2.0,4.0,50.0,1.3,3.0,44.4,1.0,1.3,75.0,0.0,0.7,0.7,1.0,1.3,0.0,0.0,1.7,7.3,0,0,2.0
Justin Jackson,DAL,24,7,5,2,13.4,6.3,2.3,4.1,55.2,0.7,1.7,41.7,1.0,1.1,87.5,0.4,2.0,2.4,0.4,0.6,0.1,0.0,1.1,9.7,0,0,-1.0
Quinn Cook,LAL,26,7,6,1,17.1,6.3,2.6,6.1,41.9,0.9,2.6,33.3,0.3,0.4,66.7,0.4,1.3,1.7,2.3,0.7,0.3,0.1,0.6,12.3,0,0,6.7
Treveon Graham,MIN,26,7,4,3,23.9,6.3,2.3,7.3,31.4,0.7,3.0,23.8,1.0,1.0,100,0.9,2.7,3.6,1.9,0.4,1.1,0.1,2.0,16.8,0,0,-8.3
Cam Reddish,ATL,20,7,3,4,25.4,6.1,2.0,8.1,24.6,0.7,3.6,20.0,1.4,1.7,83.3,0.7,3.4,4.1,1.9,2.1,1.1,0.1,1.7,15.6,0,0,-6.7
DeAndre Jordan,BKN,31,7,3,4,21.1,6.1,2.6,4.6,56.3,0.0,0.0,0.0,1.0,2.1,46.7,2.3,7.0,9.3,1.6,1.4,0.4,1.3,2.6,23.4,1,0,-6.7
Mario Hezonja,POR,24,7,3,4,23.1,6.1,2.1,5.3,40.5,1.0,2.4,41.2,0.9,1.1,75.0,0.6,5.9,6.4,1.0,0.9,0.9,0.3,3.0,17.9,1,0,-0.1
